category,num_questions
Migrazione Dati e Asseverazione,10
Misure e Candidature,9
Dettagli degli Avvisi e Indirizzi Internet,8
Cambio di Destinazione dei Servizi,7
Asseverazione e Misure PNRR,7
Informazioni su Piattaforme e Servizi Digitali,7
Contatti e Ruoli Organizzativi,7
PNRR Domande Generali,7
Domande Generiche e Informazioni Varie,7
Migrazione e Conformità Documentale,7
Descrizione e Differenze tra Misure e Servizi,7
Misura 1.2 Scuole e Comuni,7
FAQ sulla Migrazione,6
Misura 1.2 Dettagli e Obblighi,6
Supporto per Asseveratori,6
Documentazione e Asseverazione,6
Servizi e Migrazioni,6
Identità e Informazioni Su Personaggi,6
PADigitale2026,5
Presentazione delle Domande,5
Asseverazione Tecnica,5
PA Digitale 2026,5
Questionario e Documentazione,5
Migrazione e PSN,5
Checklist e Strumenti,5
Servizio Applicativo Contributi Eventi Eccezionali,5
Modifiche e Gestione dei Servizi,5
Bandi e Scadenze,5
Informazioni su Lump Sum e Avvisi,5
FAQ e informazioni sulla migrazione,5
Modulistica e procedure di conformità,5
Richieste Generiche e Specifiche,5
FAQ Migrazione,5
Dichiarazione DNSH,5
Descrizione di Iniziative Digitali,4
Descrizione e Obiettivi del PNRR,4
Aree di Intervento del PNRR,4
Processo di Digitalizzazione,4
Procedure di Asseverazione,4
Dichiarazione Sostitutiva,4
Informazioni Sugli Avvisi,4
Avvisi e Finanziamenti PNRR,4
Amministrazione e Strutture Organizzative,4
Documentazione e Rendicontazione,4
Controlli e Normative,4
Costi e Dettagli Tecnici,4
Strumenti e Terminologia PNRR,4
Misure e Missioni PNRR,4
Job Description,4
Varie,4
Informazioni su PA Digitale 2026,4
Scadenze e Validità dei Report,4
Asseverazione del Fornitore,4
Sistemi Cloud e Servizi,4
Target capacità migratorie e missioni,4
Job descriptions per assistenti tecnici,4
Domande su FAQs,4
Asseverazione e Documentazione per Progetti Scolastici,4
Validazione e Conformità,4
Dettagli Tecnici e Normativi,4
Procedure e Proroghe,4
Documentazione e Requisiti Legali,4
Asseverazione,4
Misure Specifiche del PNRR,3
Requisiti e Documentazione per l'Accesso ai Fondi,3
Piattaforma PA Digitale 2026,3
Questione REGIS,3
Linee Guida e Riferimenti Normativi,3
Procedure di Finanziamento e Migrazione,3
Informazioni Generali sul PNRR e Misure,3
Partecipazione e Candidatura,3
Migrazione e Finanziamenti,3
Informazioni di Servizio,3
Dichiarazioni Sostitutive,3
Controlli a Campione,3
Migrazione Tecnologica e Asseverazioni,3
Normativa e Contratti,3
Procedure e Documentazione Interna,3
Corruzione e Frode,3
Procedure Amministrative e CUP,3
FAQ Specifiche,3
Informazioni Tecniche e IT,3
Strategia Cloud Italia,3
FAQ e Migrazione,3
Asseverazione e Proroghe,3
Linee Guida e Informazioni Specifiche,3
Creazione e Descrizione di Posizioni Lavorative,3
Importi e Finanziamenti delle Misure,3
Gestione Fornitori e Migrazione Dati,3
Informazioni su PAGOPa e Enti,3
Misura 1.2 - Dettagli e Applicazioni,3
Differenze e Ruoli,3
Missioni del PNRR,3
SPOC e gestione TESEO,3
Normative e Interoperabilità,3
Logistica e Trasferte,3
Gestione e Registrazione dei Dirigenti,3
Uso dei Finanziamenti e Residui,3
Documentazione per Asseverazione e Migrazione,3
Ammissibilità Migrazione Cloud,3
Iniziative PADigitale2026,3
Strategia Cloud e Coinvolgimento PA,3
Avvisi e Scadenze,3
Personale e Ruoli Organizzativi,3
Dichiarazione del Rispetto del DNSH,3
Candidature e Risorse Comuni,3
Target e Calcolo per Misura,3
Servizi e Funzionalità Tecnologiche,3
Bandi e API IT Wallet,3
Normativa sui Cookies,2
Accesso e Credenziali per Applicazioni,2
Scadenze e Tempistiche,2
Gestione Fondi,2
Dettagli Misura 1.2,2
Migrazione da IaaS a SaaS,2
Procedure e Requisiti di Servizio,2
Altri Documenti e Informazioni,2
Documentazione e Legislazione,2
Controlli e Correzioni CUP,2
Decreto di Finanziamento e Aggiornamenti,2
Concetti Finanziari e Terminologia,2
Servizi Digitali,2
Informazioni Generali su PA Digitale,2
Asseverazioni e Validazioni,2
Rendicontazione e Allegati,2
Asseverazione e Procedure,2
Rinuncia e Ristorni,2
SA (Scenari Applicativi),2
Wave 1 e Fondi,2
Titolari Effettivi,2
Cloud e Reportistica,2
Job Description Tecnico BUL,2
Piani dei Fabbisogni,2
Obiettivi e Target Misure,2
Migrazione e Cloud,2
Correzione Dati e Informazioni,2
Relazioni Fornitori e Enti,2
Gestione Utenti e Referenti nei Comuni,2
Finanziamenti e Destinatari,2
FAQ sui Servizi e Misure PNRR,2
PA Digitale,2
Contratti e documentazione,2
Finanziamenti e Importi,2
Scadenze e Termini,2
Richieste di Contatto e Mailing Lists,2
Template e Documentazione Amministrativa,2
Analisi e Verifica dei Servizi,2
Normative e Procedure Amministrative,2
Servizio Ambiente - Rifiuti,2
Gestione Utenti e Account,2
PNRR e Iniziative Digitali,2
Requisiti Minimi e Verifiche,2
Strumenti e Tecnologie,2
Trasferimento e Migrazione Dati,2
Misura PNRR 1.2,2
Codici Scuole e Bandi,2
Obiettivi del Piano Nazionale per la Digitalizzazione,1
Creazione di Job Description,1
Procedure di Ricognizione,1
Scadenze e Tempi,1
Iniziative e Progetti Specifici,1
Processo di Asseverazione PNRR,1
Gestione Progetti,1
Supporto Tecnico e Problematiche Informatiche,1
Bandi e Finanziamenti,1
Meccanismi Sanzionatori,1
Variazioni e Bilanci,1
Informazioni Generali sul PNRR,1
Gestione Fornitori e FAQ,1
Piattaforme e Manuali,1
Fondi e risorse finanziarie,1
Servizi e loro denominazione,1
Servizio whistleblowing e conformità,1
Informazioni Generali sul Dipartimento,1
Ruoli e Responsabilità,1
Documentazione e Modelli,1
Implementazione Servizi Specifici,1
Piano BUL,1
Procedure Amministrative,1
Progetti M1C1 e Scadenze,1
Verifica Progetti PNRR,1
Informazioni Generali PNRR,1
Informazioni Su Servizi Digitali,1